FECHA_CORTE;CODIGO_ALUMNO;FECHA_NACIMIENTO;EDAD;SEXO;TALLER;LOCAL;DIAS;HORARIO;PERIODO;PRECIO_JESUS_MARIA;PRECIO_PUBLICO_GENERAL;PRECIO_TOTAL;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO
20240430;fc489030d6a5a0413c8d6db47ddf5cbc066a36e2691fdcd2d8137edac6faeb87;39696;5;MASCULINO;NATACIÓN PATERA 3 A 5 AÑOS;PISCINA MUNICIPAL;VIERNES - SABADO;3:00 PM - 4:00 PM / 12:00 PM - 1:00 PM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;fcb3a6b0dd000ea79d72c34f79cbb03986a79cb0ab8e5fa48bc0711d487d66b6;40407;22;FEMENINO;VOLEY MÁSTER;"CENTRO DEPORTIVO ""EL OLIVAR""";LUNES - MIERCOLES;8:00 PM - 9:00 PM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;fe96a53d1e35890fd0bde50c51773a3d9ed2cfd64171523bc8313d5b4ac0763a;41848;10;MASCULINO;CLOWN;CENTRO CULTURAL;LUNES - MIERCOLES;5:00 PM - 6:00 PM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;ff04102afa84728b94dd23f5317a0e4127a750e0125a9209467bacc4ced9b501;39213;41;FEMENINO;VOLEY MÁSTER;"CENTRO DEPORTIVO ""EL OLIVAR""";LUNES - MIERCOLES;8:00 PM - 9:00 PM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;ff784d7e0223810917210ef00ab7bef1ada4383eee5863144e46f5973c279fbf;38815;3;FEMENINO;NATACIÓN PATERA 3 A 5 AÑOS;PISCINA MUNICIPAL;JUEVES - SABADO;3:00 PM - 4:00 PM / 11:00 AM - 12:00 PM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;ffee9b8674595966e394d5cc49c8a23f58758f992bb59c04ea1ac49e0d90f9ac;39882;3;MASCULINO;NATACIÓN PATERA 3 A 5 AÑOS;PISCINA MUNICIPAL;MIERCOLES - VIERNES;2:00 PM - 3:00 PM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;ffee9b8674595966e394d5cc49c8a23f58758f992bb59c04ea1ac49e0d90f9ac;42665;3;MASCULINO;PRE ENGLISH;CASA DE LA JUVENTUD;SABADO;9:00 AM - 11:00 AM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;fff13dffe9a818a6083771d5adc8e1ca378b4127fa008a4477fe51ab02ca2e78;41827;6;FEMENINO;NATACIÓN A PARTIR DE 6 AÑOS;PISCINA MUNICIPAL;MIERCOLES - SABADO;3:00 PM - 4:00 PM / 10:00 AM - 11:00 AM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;0071c4f1f9bccff6762a75e36b01f0155f841d6ec15a51e2aaa6792e4ca3fa6c;43645;14;FEMENINO;TAEKWONDO;CASA DE LA JUVENTUD;MARTES - JUEVES;6:00 PM - 7:00 PM;202404;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;01780184d5407512611a45c8a7c7333899ff115d928353dc1593d0b9bbe8bf6f;43645;5;MASCULINO;NATACIÓN A PARTIR DE 6 AÑOS;PISCINA MUNICIPAL;MIERCOLES - SABADO;4:00 PM - 5:00 PM / 10:00 AM - 11:00 AM;202404;250;0;250;LIMA;LIMA;JESUS MARIA;150113
20240430;023a771e23e26d20dfef121552428112eb300139863c032f68523c896535e5ae;44167;5;MASCULINO;FUTBOL MIXTO;CAMPO DE MARTE;MARTES - JUEVES;3:00 PM - 4:00 PM;202404;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;023a771e23e26d20dfef121552428112eb300139863c032f68523c896535e5ae;41453;5;MASCULINO;FUTBOL MIXTO;PARQUE PRÓCERES;LUNES - MIERCOLES;4:00 PM - 5:00 PM;202404;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;03a56edbbdfc615e21fcc1e40bcb8c856c2c3ce47c029c3d706b12e0fe14ae72;32536;5;FEMENINO;PRE ENGLISH;CASA DE LA JUVENTUD;SABADO;9:00 AM - 11:00 AM;202404;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;03a56edbbdfc615e21fcc1e40bcb8c856c2c3ce47c029c3d706b12e0fe14ae72;32536;5;FEMENINO;TAEKWONDO;CASA DE LA JUVENTUD;MARTES - JUEVES;4:00 PM - 5:00 PM;202404;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;03a56edbbdfc615e21fcc1e40bcb8c856c2c3ce47c029c3d706b12e0fe14ae72;32536;5;FEMENINO;AJEDREZ;CASA DE LA JUVENTUD;MIERCOLES - VIERNES;3:00 PM - 4:00 PM;202404;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;07b5444372317c1d275e8fb1c9ea69619e586e10f4c5e3d798d404d7007df773;32536;9;MASCULINO;BÁSQUET;CASA DE LA JUVENTUD;MARTES - JUEVES;4:00 PM - 5:00 PM;202404;100;0;100;LIMA;LIMA;JESUS MARIA;150113
